src,dest,path,EdgeType
BDKRB1-TRAN,BDKRB1-PROT,internal link,Gene-TRAN-Gene-PROT
BDKRB2-TRAN,BDKRB2-PROT,internal link,Gene-TRAN-Gene-PROT
BDNF-TRAN,BDNF-PROT,internal link,Gene-TRAN-Gene-PROT
BECN1-TRAN,BECN1-PROT,internal link,Gene-TRAN-Gene-PROT
BECN2-TRAN,BECN2-PROT,internal link,Gene-TRAN-Gene-PROT
BEX3-TRAN,BEX3-PROT,internal link,Gene-TRAN-Gene-PROT
BID-TRAN,BID-PROT,internal link,Gene-TRAN-Gene-PROT
BIRC2-TRAN,BIRC2-PROT,internal link,Gene-TRAN-Gene-PROT
BIRC3-TRAN,BIRC3-PROT,internal link,Gene-TRAN-Gene-PROT
BIRC5-TRAN,BIRC5-PROT,internal link,Gene-TRAN-Gene-PROT
BLNK-TRAN,BLNK-PROT,internal link,Gene-TRAN-Gene-PROT
BMP2-TRAN,BMP2-PROT,internal link,Gene-TRAN-Gene-PROT
BMP4-TRAN,BMP4-PROT,internal link,Gene-TRAN-Gene-PROT
BMP5-TRAN,BMP5-PROT,internal link,Gene-TRAN-Gene-PROT
BMP6-TRAN,BMP6-PROT,internal link,Gene-TRAN-Gene-PROT
BMP7-TRAN,BMP7-PROT,internal link,Gene-TRAN-Gene-PROT
BMP8A-TRAN,BMP8A-PROT,internal link,Gene-TRAN-Gene-PROT
BMP8B-TRAN,BMP8B-PROT,internal link,Gene-TRAN-Gene-PROT
BMPR1A-TRAN,BMPR1A-PROT,internal link,Gene-TRAN-Gene-PROT
BMPR1B-TRAN,BMPR1B-PROT,internal link,Gene-TRAN-Gene-PROT
BMPR2-TRAN,BMPR2-PROT,internal link,Gene-TRAN-Gene-PROT
BNIP3-TRAN,BNIP3-PROT,internal link,Gene-TRAN-Gene-PROT
BOC-TRAN,BOC-PROT,internal link,Gene-TRAN-Gene-PROT
BORCS8-MEF2B-TRAN,BORCS8-MEF2B-PROT,internal link,Gene-TRAN-Gene-PROT
BRAF-TRAN,BRAF-PROT,internal link,Gene-TRAN-Gene-PROT
BRAP-TRAN,BRAP-PROT,internal link,Gene-TRAN-Gene-PROT
BRCA1-TRAN,BRCA1-PROT,internal link,Gene-TRAN-Gene-PROT
BRCC3-TRAN,BRCC3-PROT,internal link,Gene-TRAN-Gene-PROT
BTC-TRAN,BTC-PROT,internal link,Gene-TRAN-Gene-PROT
BTK-TRAN,BTK-PROT,internal link,Gene-TRAN-Gene-PROT
BTRC-TRAN,BTRC-PROT,internal link,Gene-TRAN-Gene-PROT
BUB1B-PAK6-TRAN,BUB1B-PAK6-PROT,internal link,Gene-TRAN-Gene-PROT
CAB39-TRAN,CAB39-PROT,internal link,Gene-TRAN-Gene-PROT
CAB39L-TRAN,CAB39L-PROT,internal link,Gene-TRAN-Gene-PROT
CACNA1A-TRAN,CACNA1A-PROT,internal link,Gene-TRAN-Gene-PROT
CACNA1B-TRAN,CACNA1B-PROT,internal link,Gene-TRAN-Gene-PROT
CACNA1C-TRAN,CACNA1C-PROT,internal link,Gene-TRAN-Gene-PROT
CACNA1D-TRAN,CACNA1D-PROT,internal link,Gene-TRAN-Gene-PROT
CACNA1E-TRAN,CACNA1E-PROT,internal link,Gene-TRAN-Gene-PROT
CACNA1F-TRAN,CACNA1F-PROT,internal link,Gene-TRAN-Gene-PROT
CACNA1G-TRAN,CACNA1G-PROT,internal link,Gene-TRAN-Gene-PROT
CACNA1H-TRAN,CACNA1H-PROT,internal link,Gene-TRAN-Gene-PROT
CACNA1I-TRAN,CACNA1I-PROT,internal link,Gene-TRAN-Gene-PROT
CACNA1S-TRAN,CACNA1S-PROT,internal link,Gene-TRAN-Gene-PROT
CACNA2D1-TRAN,CACNA2D1-PROT,internal link,Gene-TRAN-Gene-PROT
CACNA2D2-TRAN,CACNA2D2-PROT,internal link,Gene-TRAN-Gene-PROT
CACNA2D3-TRAN,CACNA2D3-PROT,internal link,Gene-TRAN-Gene-PROT
CACNA2D4-TRAN,CACNA2D4-PROT,internal link,Gene-TRAN-Gene-PROT
CACNB1-TRAN,CACNB1-PROT,internal link,Gene-TRAN-Gene-PROT
CACNB2-TRAN,CACNB2-PROT,internal link,Gene-TRAN-Gene-PROT
CACNB3-TRAN,CACNB3-PROT,internal link,Gene-TRAN-Gene-PROT
CACNB4-TRAN,CACNB4-PROT,internal link,Gene-TRAN-Gene-PROT
CACNG1-TRAN,CACNG1-PROT,internal link,Gene-TRAN-Gene-PROT
CACNG2-TRAN,CACNG2-PROT,internal link,Gene-TRAN-Gene-PROT
CACNG3-TRAN,CACNG3-PROT,internal link,Gene-TRAN-Gene-PROT
CACNG4-TRAN,CACNG4-PROT,internal link,Gene-TRAN-Gene-PROT
CACNG5-TRAN,CACNG5-PROT,internal link,Gene-TRAN-Gene-PROT
CACNG6-TRAN,CACNG6-PROT,internal link,Gene-TRAN-Gene-PROT
CACNG7-TRAN,CACNG7-PROT,internal link,Gene-TRAN-Gene-PROT
CACNG8-TRAN,CACNG8-PROT,internal link,Gene-TRAN-Gene-PROT
CACYBP-TRAN,CACYBP-PROT,internal link,Gene-TRAN-Gene-PROT
CALM1-TRAN,CALM1-PROT,internal link,Gene-TRAN-Gene-PROT
CALM2-TRAN,CALM2-PROT,internal link,Gene-TRAN-Gene-PROT
CALM3-TRAN,CALM3-PROT,internal link,Gene-TRAN-Gene-PROT
CALML3-TRAN,CALML3-PROT,internal link,Gene-TRAN-Gene-PROT
CALML4-TRAN,CALML4-PROT,internal link,Gene-TRAN-Gene-PROT
CALML5-TRAN,CALML5-PROT,internal link,Gene-TRAN-Gene-PROT
